,richness,shannon,invsimpson,simpson,pielou,PD
X09_10S_H_C_1,5591,6.551633498,43.55337863,0.977039669,0.759265178,64.03369
X09_11S_N_C_0,7746,7.882043994,382.7038182,0.997387013,0.880190281,86.21803
X09_12S_N_C_2,7684,7.916424776,520.2218554,0.998077743,0.884823652,83.20655
X09_13S_N_C_0,8225,8.152788925,814.7151786,0.998772577,0.904364836,85.6453
X09_14S_N_C_2,6914,7.361495984,100.8113034,0.990080477,0.832625628,75.08772
X09_15S_H_C_0,7718,7.972505278,551.6571389,0.99818728,0.890652295,80.88983
X09_16S_H_C_1,7820,8.007689215,610.9796099,0.998363284,0.893272682,87.14166
X09_17S_N_C_2,7802,8.027913687,736.8994573,0.998642963,0.895759028,81.97921
X09_18S_H_C_0,7309,7.836303122,480.3269185,0.997918085,0.880794076,82.80862
X09_19S_N_C_1,7977,8.087025832,724.5157872,0.998619768,0.900126879,81.93061
X09_1S_H_C_1,7703,7.808626285,266.6134191,0.996249251,0.872534103,82.72092
X09_20S_H_C_1,7367,7.762786717,395.465482,0.997471334,0.871756411,79.00064
X09_21S_H_C_2,7287,7.688045729,235.146879,0.995747339,0.864422959,79.25964
X09_22S_H_C_2,6574,7.294749685,122.3412864,0.991826144,0.829809024,74.11244
X09_23S_N_C_1,7346,7.847896733,490.9213434,0.997963014,0.881596832,76.17779
X09_24S_N_C_0,7321,7.86544248,388.0437078,0.997422971,0.883906335,77.57102
X09_2S_H_C_0,7438,7.764663484,183.3521638,0.994546015,0.871028976,84.47012
X09_3S_N_C_1,7231,7.74450783,333.4489855,0.997001041,0.871527374,77.66147
X09_4S_H_C_2,7484,7.840569025,455.8638901,0.997806363,0.878936056,81.73825
X09_5S_H_C_0,7422,7.889248481,571.6728485,0.998250748,0.885218586,78.79438
X09_6S_N_C_1,7784,8.032558558,700.2491331,0.998571937,0.896508358,84.27832
X09_7S_H_C_2,7777,7.877901152,328.1450614,0.996952567,0.879335448,84.90196
X09_8S_N_C_0,7729,8.010809385,644.6897021,0.998448866,0.894789089,76.83162
X09_9S_N_C_2,8078,8.051082433,609.3641546,0.998358945,0.894872989,81.30783
