,richness,shannon,invsimpson,simpson,pielou,PD
X12_2S_H_C_0,5332,7.420734816,417.9017481,0.997607093,0.864738176,63.36293
X12_3N_N_N_1,6104,7.47932751,329.414998,0.996964316,0.858045806,69.17052
X12_3S_N_C_1,5956,7.49873391,371.2488567,0.997306389,0.862701417,62.06745
X12_4N_H_N_2,5067,7.220659145,295.0309499,0.996610525,0.846451625,61.50477
X12_4S_H_C_2,5239,6.985074689,130.2124722,0.992320244,0.815643127,59.38782
X12_5N_H_N_0,5076,7.233249219,280.6089819,0.996436322,0.847751154,65.94519
X12_5S_H_C_0,5540,7.000392243,66.81505026,0.985033312,0.812134044,58.66317
X12_6N_N_N_1,5978,7.262718445,87.2894847,0.988543866,0.835194452,66.7777
X12_6S_N_C_1,5606,7.185449963,180.0829835,0.994447004,0.832459337,66.758
X12_7N_H_N_2,6462,7.758363804,477.864932,0.997907358,0.884275617,64.98014
X12_7S_H_C_2,5888,7.320941392,215.8734001,0.995367655,0.843361168,59.28244
X12_8N_N_N_0,5819,7.447030381,301.7091241,0.996685549,0.85905298,58.94524
X12_8S_N_C_0,5375,7.44944564,446.3919526,0.997759816,0.867272091,68.85862
X12_9N_N_N_2,6720,7.775247745,476.1256975,0.997899714,0.882263234,68.01572
X12_9S_N_C_2,5935,7.368082713,241.5717464,0.995860443,0.848015077,63.40913
X13_10N_H_N_1,6483,7.567877757,296.0639768,0.996622352,0.862245717,65.41578
X13_10S_H_C_1,6016,7.616207272,471.6852084,0.997879942,0.875207033,68.3456
X13_11N_N_N_0,7153,7.852298409,501.8506136,0.998007375,0.884737395,74.82862
X13_11S_N_C_0,7447,7.86497367,475.0548116,0.99789498,0.882161961,78.82506
X13_12N_N_N_2,5888,7.308842256,186.152914,0.994628072,0.841967366,60.06333
X13_12S_N_C_2,7680,8.066631506,816.5414007,0.998775322,0.901664827,82.82897
X13_13N_N_N_0,6958,7.786080719,453.5168077,0.99779501,0.880017072,70.22483
X13_13S_N_C_0,7387,7.951775538,625.1213927,0.998400311,0.892707953,72.17565
X13_14N_N_N_2,6285,7.516418419,241.3242733,0.995856198,0.859419873,63.89145
X13_14S_N_C_2,6881,7.756951313,379.1607931,0.997362597,0.877828823,76.07559
X13_15N_H_N_0,4362,6.96801023,215.6579069,0.995363026,0.831436743,53.99075
X13_15S_H_C_0,4949,7.280062124,358.9396729,0.997214017,0.855779096,66.4692
X13_16N_H_N_1,4743,7.071845175,205.1957584,0.995126605,0.835478496,58.81587
X13_16S_H_C_1,5200,7.324252444,300.5231794,0.99667247,0.855995575,68.18295
X13_17N_N_N_2,7733,7.998980001,526.812614,0.998101792,0.893416141,78.3029
X13_17S_N_C_2,7185,8.002011194,893.8628581,0.99888126,0.901152676,72.8326
X13_18N_H_N_0,5427,7.446358328,421.1486883,0.997625542,0.865942035,64.02315
X13_18S_H_C_0,5414,7.427944815,407.9872766,0.997548943,0.864041697,63.13632
X13_19N_N_N_1,6849,7.659751076,238.1366665,0.995800731,0.867286491,71.56078
X13_19S_N_C_1,7631,8.014746692,731.1603896,0.998632311,0.896506694,72.32934
X13_1N_H_N_1,5324,6.886567533,90.1240685,0.988904185,0.802632103,61.8155
X13_1S_H_C_1,6013,7.580769082,399.504995,0.997496902,0.871184632,65.05214
X13_20N_H_N_1,5946,7.625358397,490.2615782,0.997960273,0.877438721,65.51253
X13_20S_H_C_1,7070,7.940007632,780.7889011,0.998719244,0.895797815,72.83465
X13_21N_H_N_2,5212,6.845146785,77.99431393,0.987178553,0.799786374,58.75447
X13_21S_H_C_2,6979,7.872877585,488.9623337,0.997954853,0.889524258,71.58494
X13_22N_H_N_2,6528,7.631475213,332.5267072,0.996992723,0.868806968,68.30073
X13_22S_H_C_2,6728,7.647755958,312.1097144,0.996795998,0.867679504,69.97141
X13_23N_N_N_1,7127,7.933665128,720.7367771,0.998612531,0.894272092,72.32755
X13_23S_N_C_1,6387,7.558915036,221.9753105,0.995494994,0.862690918,65.01632
X13_24N_N_N_0,6724,7.645075515,260.7053803,0.996164253,0.867433921,68.29554
X13_24S_N_C_0,7308,7.812621772,404.7943004,0.997529609,0.878145817,78.07981
X13_2N_H_N_0,5739,7.534272355,439.0409301,0.997722308,0.87050691,71.69374
X13_2S_H_C_0,5627,7.440566682,365.3314971,0.99726276,0.861642253,67.20398
X13_3N_N_N_1,6972,7.898530601,690.0404406,0.99855081,0.892523884,71.76115
X13_3S_N_C_1,5851,7.533381799,353.0993655,0.997167936,0.868464644,66.10182
X13_4N_H_N_2,5310,7.275082899,287.9649699,0.996527355,0.84817401,62.34111
X13_4S_H_C_2,6745,7.690110749,344.4419797,0.997096753,0.872235154,74.95596
X13_5N_H_N_0,6025,7.756320243,745.1980853,0.998658075,0.891154856,70.34773
X13_5S_H_C_0,6130,7.310131762,155.9291195,0.99358683,0.838226539,65.88206
X13_6N_N_N_1,5825,7.180196337,106.8714892,0.990642967,0.828173856,66.26221
X13_6S_N_C_1,6935,7.905111973,638.6226071,0.99843413,0.893804993,68.26335
X13_7N_H_N_2,5583,7.229910233,147.5892672,0.99322444,0.838009354,61.23491
X13_7S_H_C_2,6626,7.747369005,484.0857291,0.99793425,0.880507255,63.03351
X13_8N_N_N_0,6043,7.340365927,168.4072868,0.994062015,0.843075234,64.90568
X13_8S_N_C_0,6249,7.598204292,363.2491047,0.997247068,0.86934218,70.7229
X13_9N_N_N_2,6166,7.689718938,564.0197429,0.998227012,0.881160792,69.80568
X13_9S_N_C_2,7439,7.985380888,747.1079859,0.998661505,0.895775233,79.66068
X14_10N_H_N_1,5070,7.156264984,196.0835871,0.994900134,0.838844728,61.26278
X14_10S_H_C_1,6152,7.534235877,274.4331087,0.996356125,0.863569007,71.10172
